state,county,per_100000_population,gender,race,location,latitude_longitude
ak,aleutians east,105.3,overall,overall,2013,55440626 161962562
ak,aleutians west,211.9,overall,overall,2016,52995403 170251538
ak,anchorage,257.9,overall,overall,2020,61159049 149103905
ak,bethel,351.6,overall,overall,2050,60924483 159749655
ak,denali,305.5,overall,overall,2068,63678399 149962076
ak,dillingham,411.6,overall,overall,2070,59803151 158181608
ak,fairbanks north star,305.7,overall,overall,2090,64809327 146586265
ak,haines,295.7,overall,overall,2100,59140721 135513878
ak,juneau,295.7,overall,overall,2110,58478434 134150437
ak,kenai peninsula,299.4,overall,overall,2122,60271254 151556972
ak,ketchikan gateway,326.8,overall,overall,2130,55559161 131351892
ak,kodiak island,274.8,overall,overall,2150,57715045 15383609
ak,lake and peninsula,387.0,overall,overall,2164,58652287 156184325
ak,matanuskasusitna,244.7,overall,overall,2170,6231628 149600476
ak,nome,378.8,overall,overall,2180,6490346 163947945
ak,north slope,327.4,overall,overall,2185,69309889 153398986
ak,northwest arctic,338.3,overall,overall,2188,67065111 159726506
ak,sitka,261.9,overall,overall,2220,57237666 135284752
ak,southeast fairbanks,290.0,overall,overall,2240,63867414 14322069
ak,valdezcordova,267.9,overall,overall,2261,61536161 144339956
ak,wade hampton,377.4,overall,overall,2270,62159714 163349484
ak,yukonkoyukuk,297.8,overall,overall,2290,6550404 15141038
ak,aleutians west,347.9,male,overall,2016,52995403 170251538
ak,anchorage,332.1,male,overall,2020,61159049 149103905
ak,bethel,489.8,male,overall,2050,60924483 159749655
ak,denali,401.2,male,overall,2068,63678399 149962076
ak,dillingham,569.0,male,overall,2070,59803151 158181608
ak,fairbanks north star,401.2,male,overall,2090,64809327 146586265
ak,haines,408.1,male,overall,2100,59140721 135513878
ak,juneau,368.0,male,overall,2110,58478434 134150437
ak,kenai peninsula,367.1,male,overall,2122,60271254 151556972
ak,ketchikan gateway,496.9,male,overall,2130,55559161 131351892
ak,kodiak island,396.0,male,overall,2150,57715045 15383609
ak,lake and peninsula,526.8,male,overall,2164,58652287 156184325
ak,matanuskasusitna,306.3,male,overall,2170,6231628 149600476
ak,nome,503.6,male,overall,2180,6490346 163947945
ak,north slope,452.7,male,overall,2185,69309889 153398986
ak,northwest arctic,453.6,male,overall,2188,67065111 159726506
ak,sitka,312.0,male,overall,2220,57237666 135284752
ak,southeast fairbanks,345.1,male,overall,2240,63867414 14322069
ak,valdezcordova,332.2,male,overall,2261,61536161 144339956
ak,wade hampton,507.9,male,overall,2270,62159714 163349484
ak,yukonkoyukuk,387.9,male,overall,2290,6550404 15141038
ak,anchorage,196.5,female,overall,2020,61159049 149103905
ak,bethel,218.9,female,overall,2050,60924483 159749655
ak,denali,212.9,female,overall,2068,63678399 149962076
ak,dillingham,260.4,female,overall,2070,59803151 158181608
ak,fairbanks north star,212.2,female,overall,2090,64809327 146586265
ak,haines,228.2,female,overall,2100,59140721 135513878
ak,juneau,228.2,female,overall,2110,58478434 134150437
ak,kenai peninsula,213.9,female,overall,2122,60271254 151556972
ak,kodiak island,174.5,female,overall,2150,57715045 15383609
ak,lake and peninsula,226.9,female,overall,2164,58652287 156184325
ak,matanuskasusitna,199.4,female,overall,2170,6231628 149600476
ak,nome,279.0,female,overall,2180,6490346 163947945
ak,north slope,227.7,female,overall,2185,69309889 153398986
ak,northwest arctic,242.5,female,overall,2188,67065111 159726506
ak,southeast fairbanks,199.8,female,overall,2240,63867414 14322069
ak,valdezcordova,202.0,female,overall,2261,61536161 144339956
ak,wade hampton,255.8,female,overall,2270,62159714 163349484
ak,yukonkoyukuk,208.6,female,overall,2290,6550404 15141038
ak,anchorage,253.4,overall,white,2020,61159049 149103905
ak,bethel,293.2,overall,white,2050,60924483 159749655
ak,denali,309.2,overall,white,2068,63678399 149962076
ak,fairbanks north star,309.2,overall,white,2090,64809327 146586265
ak,haines,259.5,overall,white,2100,59140721 135513878
ak,juneau,259.5,overall,white,2110,58478434 134150437
ak,kenai peninsula,289.9,overall,white,2122,60271254 151556972
ak,ketchikan gateway,354.4,overall,white,2130,55559161 131351892
ak,kodiak island,288.5,overall,white,2150,57715045 15383609
ak,lake and peninsula,327.0,overall,white,2164,58652287 156184325
ak,matanuskasusitna,253.5,overall,white,2170,6231628 149600476
ak,sitka,241.8,overall,white,2220,57237666 135284752
ak,southeast fairbanks,298.9,overall,white,2240,63867414 14322069
ak,valdezcordova,254.2,overall,white,2261,61536161 144339956
ak,yukonkoyukuk,272.0,overall,white,2290,6550404 15141038
ak,anchorage,317.5,male,white,2020,61159049 149103905
ak,denali,400.7,male,white,2068,63678399 149962076
ak,fairbanks north star,401.0,male,white,2090,64809327 146586265
ak,haines,385.5,male,white,2100,59140721 135513878
ak,juneau,281.6,male,white,2110,58478434 134150437
ak,kenai peninsula,353.8,male,white,2122,60271254 151556972
ak,ketchikan gateway,550.9,male,white,2130,55559161 131351892
ak,kodiak island,414.2,male,white,2150,57715045 15383609
ak,lake and peninsula,529.3,male,white,2164,58652287 156184325
ak,matanuskasusitna,308.0,male,white,2170,6231628 149600476
ak,southeast fairbanks,349.0,male,white,2240,63867414 14322069
ak,valdezcordova,317.7,male,white,2261,61536161 144339956
ak,yukonkoyukuk,367.3,male,white,2290,6550404 15141038
ak,anchorage,197.6,female,white,2020,61159049 149103905
ak,bethel,209.1,female,white,2050,60924483 159749655
ak,denali,214.8,female,white,2068,63678399 149962076
ak,fairbanks north star,214.9,female,white,2090,64809327 146586265
ak,haines,223.6,female,white,2100,59140721 135513878
ak,juneau,223.6,female,white,2110,58478434 134150437
ak,kenai peninsula,207.0,female,white,2122,60271254 151556972
ak,kodiak island,192.8,female,white,2150,57715045 15383609
ak,lake and peninsula,215.8,female,white,2164,58652287 156184325
ak,matanuskasusitna,198.9,female,white,2170,6231628 149600476
ak,southeast fairbanks,204.5,female,white,2240,63867414 14322069
ak,valdezcordova,202.5,female,white,2261,61536161 144339956
ak,yukonkoyukuk,203.1,female,white,2290,6550404 15141038
